うるさく悩ませる、せがむ	pester
得る、獲得する、稼ぐ	garner
だます、欺く、惑わす	beguile
(紛糾・難局などから開放する	extricate
脈打つ、動悸がする、鼓動する	throb
引く、衰える、減る、衰退する	ebb
鼻であしらう、出鼻をくじく	snub
ロブで返す、のそのそ歩く	lob
下におく、服従させる	subjugate
いやす、和らげる、冷ます	quench
句読点をつける、中断させる	punctuate
解放する、無罪を申し渡す	absolve
気づかない、気に留めない、眼中にない	oblivious
労力を要する、困難な	laborious
気難しい、うるさい、入念な	fastidious
目立つ、派手な、これ見よがしの	ostentatious
付け加える、合併する、着服する	annex
神聖にする、奉献する、あがめる	consecrate
（恐怖･疑い･怒りなどを	allay
ぐらつく、動揺する、振動する、変動する	vacillate
熱心な、熱烈な、熱い	fervent
惨めな、わびしい、見捨てられた	forlorn
遠回りの、常道を外れた	devious
効力を失った、廃れた	defunct
激論、熱論、論争、口論.	altercation
式辞、（式典などにおける正式の演説	oration
大嫌いなもの、忌まわしい行為	abomination
夢中(になること、心酔	infatuation
触媒、きっかけ	catalyst
慰め、お悔やみ、弔慰	condolence
影響、反響、余波	repercussion
割れ目、裂け目、亀裂	fissure
一時的救済、刑執行の一時停止	reprieve
むち、罰を下すもの、苦難の原因	scourge
苦境、ジレンマ、困惑	quandary
傾向、性癖、性向	propensity
ひどい、恐ろしい、ぞっとするような	appalling
傑出した、著名な、輝かしい	illustrious
学者ぶった、物知り顔の	pedantic
非の打ち所がない、一分のすきもない	impeccable
予言、お告	prophecy
系図、血筋、血統、家系	genealogy
子孫、弟子、門弟	progeny
賛辞、褒め言葉、弔辞	eulogy
攻撃の構えをする、にらみ合う	square off
にしがみつく、に固執する	hold to
もみ消す	stub out
改装する、手入れする	do up
神聖にする、清める、浄化する	sanctify
嘲笑する、あざける	scoff
救出する、回収する、（沈没船を	salvage
登る、乗り越える、克服する	surmount
ぬきんでた勇気、武勇	prowess
推測、推量、憶測	conjecture
残り、残部、残骸	remnant
尊敬、敬意	deference
騎士道にかなった、礼儀正しい	chivalrous
より好みする、気難しい	squeamish
率直な、遠慮のない、公平な	candid
ひそかな、こそこそした	furtive
征服する、降伏させる、負かす	vanquish
汚す、しみをつける、傷つける	sully
確立する、地位を守る	entrench
いらいらさせる、困らす、害する	fret
人目を引くための行為、スタント	stunt
群衆、野次馬連、大衆	mob
刻み目、切り込み	nick
駄目なもの、だめなひと	dud
服従しない、反抗的な、下位でない	insubordinate
反駁できない、議論の余地のない	irrefutable
内省の、内省的な	introspective
活力に満ち溢れた、(人・感情・行為が	irrepressible
煮詰まる	simmer down
失敗する、躓かせる	trip up
(意見を言うために	chime in
清算する、済ます	settle up
不足、欠乏、食料不足	dearth
気質、性質、心の持ちよう	disposition
嫌になるほどたくさんの…	litany
ひとかじり、一片	morsel
ゆったりと動く、のんびりする	ease off
鼓舞する、あおる、強める	key up
杭で印をつける、杭で区画する	stake out
～を繰り返し［くどくど］話す	harp on
要約する、まとめる	tabulate
調節する、加減する	modulate
～を手本とする、見習う	emulate
～を強調する、目立たせる	accentuate.
励ます、刺激する、激励する	spur on
獲得する、集める	drum up
こっぴどく叱る、非難する	chew out
軽く扱う、軽視する、過小にいう	play down
